iter	Passed	Remaining
0	1	185
1	3	166
2	4	157
3	6	145
4	7	143
5	9	141
6	10	140
7	12	138
8	13	136
9	14	134
10	16	132
11	17	130
12	19	129
13	20	127
14	22	125
15	23	125
16	25	124
17	27	123
18	28	121
19	29	119
20	31	117
21	32	116
22	34	114
23	35	112
24	37	111
25	38	110
26	40	109
27	42	108
28	43	106
29	45	105
30	46	103
31	48	102
32	49	100
33	51	99
34	52	98
35	54	96
36	55	94
37	57	93
38	58	91
39	60	90
40	61	88
41	62	85
42	63	84
43	65	82
44	66	81
45	68	79
46	69	78
47	70	76
48	72	75
49	73	73
50	75	72
51	76	70
52	78	69
53	79	68
54	80	66
55	82	64
56	83	63
57	85	61
58	86	60
59	88	58
60	89	57
61	91	55
62	92	54
63	94	53
64	95	51
65	97	50
66	98	48
67	100	47
68	101	45
69	103	44
70	104	42
71	106	41
72	107	39
73	109	38
74	110	36
75	112	35
76	113	33
77	115	32
78	116	30
79	118	29
80	119	28
81	121	26
82	123	25
83	124	23
84	126	22
85	127	20
86	129	19
87	130	17
88	131	16
89	133	14
90	134	13
91	136	11
92	137	10
93	139	8
94	140	7
95	142	5
96	143	4
97	144	2
98	146	1
99	147	0
