iter	Passed	Remaining
0	139	139426
1	141	70589
2	143	47633
3	145	36124
4	146	29178
5	150	24928
6	152	21587
7	154	19136
8	156	17269
9	158	15686
10	160	14388
11	161	13327
12	164	12522
13	166	11731
14	168	11037
15	170	10509
16	172	9971
17	174	9501
18	176	9089
19	178	8769
20	180	8432
21	182	8132
22	184	7849
23	186	7584
24	188	7335
25	190	7121
26	192	6941
27	194	6744
28	195	6562
29	197	6386
30	199	6235
31	201	6092
32	203	5959
33	205	5827
34	207	5727
35	209	5605
36	210	5488
37	213	5396
38	214	5296
39	216	5204
40	218	5106
41	220	5027
42	222	4948
43	223	4865
44	225	4785
45	227	4712
46	229	4644
47	230	4573
48	232	4505
49	233	4440
50	235	4387
51	237	4326
52	238	4269
53	240	4216
54	242	4164
55	244	4117
56	245	4065
57	247	4016
58	249	3982
59	251	3934
60	252	3890
61	254	3853
62	256	3815
63	258	3776
64	259	3739
65	265	3760
66	267	3725
67	269	3694
68	271	3663
69	273	3627
70	274	3593
71	276	3559
72	278	3535
73	280	3505
74	281	3473
75	283	3442
76	286	3430
77	288	3404
78	289	3376
79	293	3371
80	295	3348
81	296	3321
82	297	3287
83	300	3276
84	302	3253
85	303	3228
86	305	3206
87	307	3181
88	309	3165
89	311	3145
90	312	3122
91	314	3107
92	316	3088
93	318	3067
94	319	3045
95	321	3024
96	323	3012
97	325	2993
98	327	2976
99	328	2957
100	330	2940
101	331	2921
102	333	2903
103	334	2884
104	338	2881
105	339	2866
106	342	2855
107	344	2841
108	346	2829
109	348	2817
110	349	2800
111	353	2799
112	356	2797
113	358	2786
114	363	2800
115	370	2819
116	371	2806
117	375	2807
118	377	2797
119	379	2783
120	381	2768
121	383	2758
122	384	2743
123	386	2729
124	388	2719
125	390	2708
126	391	2693
127	393	2680
128	395	2668
129	397	2662
130	399	2652
131	401	2639
132	403	2629
133	405	2618
134	406	2605
135	408	2594
136	409	2581
137	413	2580
138	414	2568
139	416	2556
140	418	2547
141	419	2533
142	420	2521
143	422	2510
144	423	2498
145	426	2492
146	428	2484
147	429	2473
148	431	2462
149	432	2453
150	434	2443
151	436	2433
152	437	2423
153	439	2412
154	441	2408
155	443	2399
156	445	2389
157	446	2381
158	448	2371
159	449	2362
160	450	2350
161	452	2340
162	453	2331
163	456	2327
164	458	2318
165	460	2311
166	461	2303
167	463	2295
168	465	2286
169	466	2278
170	468	2270
171	471	2268
172	472	2259
173	474	2251
174	476	2245
175	478	2239
176	479	2231
177	481	2224
178	483	2216
179	485	2212
180	487	2205
181	488	2197
182	490	2191
183	492	2185
184	494	2177
185	495	2169
186	497	2163
187	501	2164
188	502	2158
189	505	2153
190	507	2148
191	508	2141
192	511	2136
193	512	2129
194	516	2130
195	518	2125
196	520	2123
197	522	2117
198	524	2113
199	526	2107
200	528	2101
201	530	2097
202	532	2090
203	534	2084
204	535	2077
205	537	2071
206	539	2065
207	540	2059
208	543	2055
209	546	2055
210	548	2049
211	552	2054
212	556	2054
213	557	2048
214	560	2046
215	562	2040
216	563	2034
217	565	2028
218	567	2024
219	570	2022
220	572	2017
221	576	2019
222	578	2014
223	579	2008
224	582	2005
225	584	2000
226	585	1994
227	587	1988
228	590	1987
229	592	1982
230	593	1975
231	595	1971
232	597	1965
233	598	1960
234	600	1954
235	601	1948
236	603	1943
237	605	1939
238	607	1934
239	609	1929
240	611	1924
241	612	1918
242	613	1912
243	615	1907
244	617	1901
245	620	1903
246	622	1898
247	625	1897
248	627	1891
249	628	1886
250	630	1881
251	631	1875
252	634	1872
253	636	1868
254	637	1862
255	639	1858
256	641	1854
257	643	1849
258	644	1844
259	646	1839
260	647	1834
261	649	1830
262	651	1825
263	654	1823
264	656	1821
265	658	1816
266	659	1811
267	661	1807
268	664	1804
269	666	1800
270	667	1795
271	670	1794
272	672	1790
273	674	1786
274	675	1781
275	677	1777
276	679	1774
277	681	1770
278	683	1765
279	685	1762
280	686	1757
281	688	1752
282	689	1748
283	691	1742
284	694	1741
285	695	1737
286	697	1732
287	699	1728
288	700	1724
289	702	1719
290	703	1715
291	705	1710
292	707	1708
293	710	1705
294	711	1700
295	713	1696
296	715	1692
297	716	1688
298	718	1683
299	719	1679
300	721	1676
301	724	1674
302	726	1671
303	730	1672
304	732	1668
305	733	1663
306	735	1659
307	737	1658
308	739	1653
309	740	1649
310	742	1645
311	744	1641
312	745	1636
313	747	1632
314	748	1628
315	750	1624
316	752	1622
317	754	1618
318	756	1614
319	758	1610
320	760	1607
321	762	1604
322	764	1601
323	765	1598
324	767	1595
325	769	1590
326	771	1586
327	772	1583
328	774	1580
329	776	1576
330	778	1572
331	779	1569
332	782	1567
333	784	1563
334	785	1559
335	787	1556
336	789	1553
337	790	1549
338	793	1547
339	795	1544
340	797	1541
341	799	1538
342	801	1534
343	802	1530
344	804	1527
345	806	1523
346	807	1519
347	809	1515
348	812	1515
349	814	1512
350	815	1508
351	817	1504
352	818	1500
353	820	1496
354	821	1493
355	823	1489
356	826	1488
357	828	1485
358	829	1481
359	831	1478
360	833	1474
361	834	1470
362	836	1467
363	837	1463
364	839	1459
365	842	1459
366	844	1455
367	845	1452
368	846	1448
369	849	1445
370	851	1442
371	852	1439
372	854	1435
373	856	1434
374	858	1431
375	860	1427
376	861	1424
377	864	1421
378	865	1418
379	867	1414
380	868	1411
381	872	1410
382	873	1407
383	875	1404
384	877	1400
385	878	1397
386	879	1393
387	881	1390
388	883	1387
389	886	1386
390	888	1383
391	889	1380
392	891	1377
393	893	1373
394	894	1370
395	896	1366
396	897	1363
397	899	1360
398	901	1358
399	903	1354
400	904	1351
401	907	1349
402	908	1346
403	910	1342
404	911	1339
405	913	1335
406	915	1334
407	917	1331
408	919	1328
409	920	1324
410	922	1321
411	923	1318
412	925	1314
413	926	1311
414	927	1308
415	931	1306
416	932	1304
417	934	1300
418	936	1297
419	937	1294
420	938	1291
421	940	1288
422	941	1284
423	943	1282
424	945	1279
425	947	1276
426	949	1273
427	951	1271
428	953	1268
429	954	1265
430	956	1262
431	957	1259
432	960	1257
433	961	1254
434	963	1251
435	965	1248
436	966	1245
437	968	1242
438	969	1239
439	971	1235
440	974	1235
441	976	1232
442	977	1229
443	979	1226
444	980	1222
445	982	1219
446	983	1216
447	985	1213
448	987	1212
449	989	1209
450	991	1206
451	992	1203
452	994	1200
453	995	1197
454	997	1194
455	998	1191
456	1000	1188
457	1004	1189
458	1006	1186
459	1008	1183
460	1011	1182
461	1013	1180
462	1015	1178
463	1020	1179
464	1023	1177
465	1026	1175
466	1028	1173
467	1030	1171
468	1034	1171
469	1038	1171
470	1043	1171
471	1050	1174
472	1052	1172
473	1054	1169
474	1055	1167
475	1057	1164
476	1059	1161
477	1061	1159
478	1064	1158
479	1067	1156
480	1070	1155
481	1072	1153
482	1075	1151
483	1081	1152
484	1083	1150
485	1084	1147
486	1087	1145
487	1090	1143
488	1095	1144
489	1097	1142
490	1099	1139
491	1102	1138
492	1105	1136
493	1107	1134
494	1111	1134
495	1113	1131
496	1115	1128
497	1117	1126
498	1118	1123
499	1120	1120
500	1122	1117
501	1126	1117
502	1128	1114
503	1129	1111
504	1131	1109
505	1133	1107
506	1136	1105
507	1138	1102
508	1143	1102
509	1145	1100
510	1148	1098
511	1150	1096
512	1153	1094
513	1156	1093
514	1158	1091
515	1160	1088
516	1162	1085
517	1164	1083
518	1165	1080
519	1167	1077
520	1168	1074
521	1171	1072
522	1173	1069
523	1174	1067
524	1176	1064
525	1177	1061
526	1179	1058
527	1180	1055
528	1182	1052
529	1183	1049
530	1186	1048
531	1188	1045
532	1190	1042
533	1191	1040
534	1193	1037
535	1194	1034
536	1196	1031
537	1197	1028
538	1200	1026
539	1202	1024
540	1204	1021
541	1206	1019
542	1207	1016
543	1209	1013
544	1210	1010
545	1212	1007
546	1213	1004
547	1216	1003
548	1218	1000
549	1219	997
550	1221	995
551	1222	992
552	1224	989
553	1225	986
554	1227	983
555	1228	981
556	1230	978
557	1232	976
558	1234	973
559	1236	971
560	1238	968
561	1239	966
562	1241	963
563	1242	960
564	1246	959
565	1248	957
566	1249	954
567	1250	951
568	1252	948
569	1253	945
570	1255	943
571	1256	940
572	1259	938
573	1261	936
574	1263	933
575	1264	931
576	1266	928
577	1268	925
578	1269	923
579	1270	920
580	1272	917
581	1275	915
582	1276	913
583	1278	910
584	1279	907
585	1281	905
586	1282	902
587	1284	899
588	1285	897
589	1287	894
590	1290	893
591	1292	890
592	1293	887
593	1295	885
594	1296	882
595	1298	879
596	1299	877
597	1301	874
598	1303	872
599	1305	870
600	1306	867
601	1308	865
602	1309	862
603	1311	859
604	1312	857
605	1314	854
606	1316	852
607	1318	849
608	1320	847
609	1322	845
610	1323	842
611	1326	840
612	1327	838
613	1329	835
614	1330	833
615	1332	830
616	1334	828
617	1336	826
618	1338	823
619	1339	821
620	1341	818
621	1342	816
622	1344	813
623	1345	810
624	1348	809
625	1350	806
626	1351	804
627	1353	801
628	1354	799
629	1356	796
630	1357	794
631	1359	791
632	1360	789
633	1363	787
634	1365	784
635	1366	782
636	1368	779
637	1369	777
638	1371	774
639	1372	772
640	1374	769
641	1375	767
642	1379	765
643	1380	763
644	1382	760
645	1383	758
646	1385	755
647	1387	753
648	1388	751
649	1390	748
650	1393	746
651	1394	744
652	1396	742
653	1397	739
654	1399	737
655	1401	734
656	1402	732
657	1403	729
658	1405	727
659	1408	725
660	1410	723
661	1411	720
662	1413	718
663	1414	716
664	1416	713
665	1417	711
666	1419	708
667	1420	706
668	1423	704
669	1425	702
670	1427	699
671	1431	698
672	1433	696
673	1435	694
674	1438	692
675	1439	690
676	1441	687
677	1443	685
678	1444	682
679	1445	680
680	1447	678
681	1448	675
682	1450	673
683	1453	671
684	1454	669
685	1456	666
686	1458	664
687	1459	661
688	1460	659
689	1462	657
690	1463	654
691	1465	652
692	1468	650
693	1469	648
694	1471	645
695	1473	643
696	1474	641
697	1476	638
698	1477	636
699	1479	633
700	1481	632
701	1484	629
702	1485	627
703	1487	625
704	1488	622
705	1490	620
706	1491	618
707	1493	615
708	1494	613
709	1498	611
710	1499	609
711	1501	607
712	1502	604
713	1504	602
714	1505	600
715	1506	597
716	1508	595
717	1509	593
718	1512	590
719	1513	588
720	1515	586
721	1517	584
722	1519	582
723	1520	579
724	1522	577
725	1523	575
726	1527	573
727	1528	571
728	1530	568
729	1531	566
730	1533	564
731	1534	561
732	1536	559
733	1537	557
734	1540	555
735	1542	553
736	1543	550
737	1545	548
738	1546	546
739	1548	544
740	1549	541
741	1551	539
742	1556	538
743	1558	536
744	1560	534
745	1561	531
746	1563	529
747	1565	527
748	1566	525
749	1568	522
750	1571	520
751	1573	518
752	1574	516
753	1575	514
754	1577	511
755	1579	509
756	1580	507
757	1582	505
758	1583	502
759	1586	501
760	1588	498
761	1589	496
762	1591	494
763	1592	491
764	1594	489
765	1595	487
766	1597	485
767	1599	483
768	1601	480
769	1602	478
770	1604	476
771	1606	474
772	1608	472
773	1609	470
774	1611	467
775	1612	465
776	1616	463
777	1617	461
778	1619	459
779	1621	457
780	1623	455
781	1624	452
782	1626	450
783	1627	448
784	1630	446
785	1632	444
786	1633	442
787	1635	439
788	1636	437
789	1638	435
790	1639	433
791	1641	431
792	1642	428
793	1645	426
794	1646	424
795	1648	422
796	1649	420
797	1651	418
798	1653	415
799	1654	413
800	1655	411
801	1657	409
802	1659	407
803	1661	405
804	1662	402
805	1664	400
806	1666	398
807	1667	396
808	1668	394
809	1670	391
810	1672	389
811	1674	387
812	1675	385
813	1677	383
814	1678	381
815	1680	378
816	1681	376
817	1683	374
818	1684	372
819	1686	370
820	1688	368
821	1689	365
822	1691	363
823	1692	361
824	1694	359
825	1695	357
826	1697	355
827	1698	352
828	1701	351
829	1703	348
830	1705	346
831	1706	344
832	1709	342
833	1710	340
834	1712	338
835	1713	336
836	1717	334
837	1718	332
838	1720	330
839	1721	327
840	1723	325
841	1724	323
842	1726	321
843	1727	319
844	1729	317
845	1732	315
846	1734	313
847	1735	311
848	1737	309
849	1738	306
850	1740	304
851	1742	302
852	1743	300
853	1746	298
854	1748	296
855	1749	294
856	1751	292
857	1753	290
858	1754	287
859	1755	285
860	1757	283
861	1758	281
862	1761	279
863	1763	277
864	1765	275
865	1766	273
866	1767	271
867	1769	269
868	1770	266
869	1772	264
870	1773	262
871	1778	261
872	1780	259
873	1782	256
874	1784	254
875	1785	252
876	1787	250
877	1788	248
878	1791	246
879	1793	244
880	1794	242
881	1796	240
882	1798	238
883	1800	236
884	1801	234
885	1803	232
886	1805	230
887	1807	228
888	1809	225
889	1811	223
890	1812	221
891	1814	219
892	1815	217
893	1817	215
894	1818	213
895	1821	211
896	1823	209
897	1824	207
898	1826	205
899	1827	203
900	1829	201
901	1830	198
902	1832	196
903	1834	194
904	1836	192
905	1838	190
906	1839	188
907	1841	186
908	1842	184
909	1844	182
910	1846	180
911	1847	178
912	1850	176
913	1852	174
914	1854	172
915	1855	170
916	1856	168
917	1858	166
918	1860	163
919	1861	161
920	1863	159
921	1866	157
922	1868	155
923	1869	153
924	1871	151
925	1872	149
926	1874	147
927	1875	145
928	1877	143
929	1880	141
930	1882	139
931	1883	137
932	1885	135
933	1887	133
934	1889	131
935	1890	129
936	1892	127
937	1895	125
938	1897	123
939	1898	121
940	1900	119
941	1901	117
942	1904	115
943	1905	113
944	1907	111
945	1910	109
946	1912	107
